sequence_id,label,outer_split_seed
00d53103d2db,orchid_palm,20260827
010a5011bcfd,orchid_finger,20260827
013813bfd4b6,three_finger_bent,20260827
01fd6a3af833,flower_pinch,20260827
02031cd71838,orchid_finger,20260827
02788771595a,prayer_beads,20260827
029acf1c8098,orchid_palm,20260827
04e16016884a,orchid_finger,20260827
05fccc72741b,orchid_finger,20260827
065ced8f3f3c,deer_horn,20260827
077732e35af3,orchid_finger,20260827
07d55faaaef1,orchid_palm,20260827
0811126d80b5,deer_horn,20260827
08f6838eb763,deer_horn,20260827
0945e8accdd1,deer_horn,20260827
09dc2f057497,prayer_beads,20260827
0c54bf5d9c80,flower_pinch,20260827
0cc3fe974e06,prayer_beads,20260827
0da65ec5dfa1,flower_pinch,20260827
0e3664e2254e,orchid_palm,20260827
0e3e9a68b1ee,flower_pinch,20260827
0e4f4ee4e14c,flower_pinch,20260827
102f03365f11,orchid_palm,20260827
10669b510bec,orchid_palm,20260827
13223bfbd5ee,flower_pinch,20260827
13271a043d83,orchid_finger,20260827
13b67119bca1,prayer_beads,20260827
13b760fe42f8,prayer_beads,20260827
15871d67f593,three_finger_bent,20260827
15b1b2a699ed,three_finger_bent,20260827
17360e901685,flower_pinch,20260827
17403ac8aaef,deer_horn,20260827
17dd78dd74ea,deer_horn,20260827
18921f341339,orchid_finger,20260827
196af66c4870,orchid_palm,20260827
19d69d349b91,orchid_palm,20260827
1ac2d6ad98c0,orchid_finger,20260827
1b440a811b8d,three_finger_bent,20260827
1bdd3f18777d,orchid_palm,20260827
1c84fb7a8f72,flower_pinch,20260827
1cabad167392,orchid_palm,20260827
1cd49ab74b3e,three_finger_bent,20260827
1d0e62a6a7aa,orchid_palm,20260827
1f834441de71,deer_horn,20260827
215a4cade2a6,prayer_beads,20260827
21cf94ae0db2,three_finger_bent,20260827
22258c77b24a,three_finger_bent,20260827
223f5619f740,flower_pinch,20260827
224a51a1dd12,orchid_palm,20260827
2294550ff000,three_finger_bent,20260827
22cf7a87c9ab,orchid_palm,20260827
23475596218f,orchid_palm,20260827
239169458cfc,prayer_beads,20260827
24335f186a87,orchid_palm,20260827
2472e1c1ad51,flower_pinch,20260827
247c348c21f7,deer_horn,20260827
251f6006a2a2,flower_pinch,20260827
27d4d7ce2acb,orchid_finger,20260827
2898570d92e6,three_finger_bent,20260827
28d14f2d48f6,orchid_palm,20260827
2a93c274a81c,orchid_finger,20260827
2c08816ba325,orchid_finger,20260827
2c1e23d635ff,orchid_finger,20260827
2c21941e57f9,deer_horn,20260827
2c611fe52599,orchid_palm,20260827
2d237e4a1d0b,deer_horn,20260827
2d78255194cb,orchid_finger,20260827
2dedc2a68a21,flower_pinch,20260827
2df654ae7a73,orchid_finger,20260827
2f6a97017de9,three_finger_bent,20260827
3077ba49d2d6,orchid_finger,20260827
31310173430f,three_finger_bent,20260827
31eb091e0bb6,three_finger_bent,20260827
32ddc31572ea,deer_horn,20260827
35a9c396f1a4,orchid_finger,20260827
3682f386ff1c,prayer_beads,20260827
379735a15bb8,prayer_beads,20260827
385de3b26d97,flower_pinch,20260827
38d177749246,deer_horn,20260827
392a69adcef6,flower_pinch,20260827
3942ffd00cbd,deer_horn,20260827
3ae3dfcde5c7,flower_pinch,20260827
3b46b5044d7d,prayer_beads,20260827
3bc9481d2495,orchid_palm,20260827
3c2319a95c1a,prayer_beads,20260827
3d45f17da2ea,flower_pinch,20260827
3d5cfe36147b,flower_pinch,20260827
3ec659725d6d,orchid_finger,20260827
3ee7e4fe98c4,three_finger_bent,20260827
3fe08dead7c2,deer_horn,20260827
412c0b227fc0,three_finger_bent,20260827
418c8916b65e,orchid_palm,20260827
422b75765199,orchid_finger,20260827
425e947b303e,deer_horn,20260827
42a4ec684008,orchid_finger,20260827
435ce8fb33a5,deer_horn,20260827
44141acbcc3a,prayer_beads,20260827
44ce576d45ae,flower_pinch,20260827
4517781a2c8f,orchid_palm,20260827
46c0b04a88e9,three_finger_bent,20260827
4816b5a56406,flower_pinch,20260827
492ec5de579e,prayer_beads,20260827
49e9f07e201b,deer_horn,20260827
4a163017caff,flower_pinch,20260827
4a1b0f7cb862,orchid_finger,20260827
4a54ba657f5b,flower_pinch,20260827
4a71d94f6047,three_finger_bent,20260827
4ad79a00344c,orchid_finger,20260827
4b2088a7f4bc,flower_pinch,20260827
4b7e191007f4,flower_pinch,20260827
4b90985a0dca,three_finger_bent,20260827
4d93d544e72c,deer_horn,20260827
4db7f3db8142,orchid_palm,20260827
4e5c051aa222,prayer_beads,20260827
4e8175d00fb4,orchid_palm,20260827
4eb3a90dac1b,three_finger_bent,20260827
4f1e2ed0c7db,prayer_beads,20260827
4f2b5b9edc58,flower_pinch,20260827
505452b22e06,deer_horn,20260827
5076fc9a1a84,orchid_finger,20260827
50d5b45a64e5,three_finger_bent,20260827
5267becf7c76,orchid_finger,20260827
52f13c73e616,deer_horn,20260827
538ec863bb75,deer_horn,20260827
539a413b384f,flower_pinch,20260827
53bc9d5f7ebc,prayer_beads,20260827
553c0b19a4f6,orchid_finger,20260827
55f3899121d9,orchid_palm,20260827
56c88f568131,deer_horn,20260827
56f5ccb9a473,flower_pinch,20260827
56fca544f99b,orchid_palm,20260827
57c7e4a382bd,deer_horn,20260827
597539acae4b,orchid_palm,20260827
597f99241813,flower_pinch,20260827
59e5f0ad43d1,orchid_palm,20260827
5a1568c6b575,flower_pinch,20260827
5a3dc528e04d,deer_horn,20260827
