row_index,row_actuator,corr_0,corr_1,corr_2,corr_3,corr_4,corr_5,corr_6,corr_7,corr_8,corr_9,corr_10,corr_11,corr_12,corr_13,corr_14,corr_15,corr_16
0,right_wrist_actuator,1.0,-0.2956071125586268,-0.1405901299712242,0.08917330859946151,-0.10566200505144364,-0.2337297783145009,0.10418280739490458,0.20582822485783073,-0.3838255053454317,0.08606882988380346,0.09583745945340623,-0.38183989703717214,-0.1215779218647414,-0.2661882304570601,-0.4140405919293583,0.0011210156942811798,-0.04898653024128296
1,right_p-abd_actuator,-0.29560711255862687,1.0,0.533269195883448,0.160534553388522,0.6775757377248542,0.28856053534768183,0.05407085907673761,0.10851533811764677,0.11614270398889137,-0.002571146431463871,0.11530945021417159,-0.20853391602388688,-0.4661440024110478,0.2200898949550432,0.09638914479257862,0.5908299148979803,0.33210709302824787
2,right_p-mcp_actuator,-0.1405901299712242,0.533269195883448,1.0,0.5360480581419363,0.19904501691900373,0.3984767153769856,0.0809727763176691,0.12188916388546753,0.22853227391412215,0.003826449214588135,0.3568525556704803,0.11003783022526528,-0.08825740105668131,0.23795599639163795,0.17427940413441803,0.38653713966714737,0.01922301068979298
3,right_p-pip_actuator,0.08917330859946151,0.160534553388522,0.5360480581419363,1.0,-0.005299184667503998,0.34270032277693047,0.5567552277975653,0.08400987836554918,0.28495797235569353,0.4785171484748481,0.3484300442750638,-0.04082403912931603,0.017861494510254084,0.14718041743234334,0.2807835542679696,0.018912744532487268,-0.2223362149024522
4,right_r-abd_actuator,-0.10566200505144364,0.6775757377248542,0.1990450169190037,-0.005299184667503998,1.0,0.3698862159617433,0.28215701323547626,-0.1557178145569907,0.10187825695760983,0.23443343485779256,-0.013740712462796519,-0.1868427898541035,-0.3849195970736734,0.37670757989596626,0.10174518328998862,0.26622616776686664,0.24316095319469333
5,right_r-mcp_actuator,-0.2337297783145009,0.2885605353476819,0.3984767153769856,0.3427003227769305,0.3698862159617433,1.0,0.5958239458610911,-0.24831055693301846,0.8541548666186601,0.5933656415553059,-0.004568204055204242,0.08819289677625072,-0.18972258894981542,0.41252399907211745,0.4624036620914456,0.025190506660799913,-0.016052525284451474
6,right_r-pip_actuator,0.1041828073949046,0.05407085907673761,0.08097277631766911,0.5567552277975654,0.28215701323547626,0.5958239458610911,1.0,-0.25938075569335406,0.49282891355832714,0.9398407671993843,0.13614932727092074,-0.14535258300590848,-0.1448099161000539,0.3605713450426784,0.38900558950447633,-0.10322388368613597,-0.037223351723398385
7,right_m-abd_actuator,0.20582822485783075,0.10851533811764677,0.12188916388546753,0.08400987836554918,-0.1557178145569907,-0.24831055693301846,-0.25938075569335406,1.0,-0.2887464428580578,-0.3517173955229821,0.3410649300270521,0.02768981706029759,0.0168051750541157,-0.24483372245157345,-0.16923263176240944,0.18589032664828034,0.06451466026439576
8,right_m-mcp_actuator,-0.38382550534543175,0.11614270398889139,0.22853227391412215,0.28495797235569353,0.10187825695760983,0.8541548666186601,0.4928289135583272,-0.2887464428580578,1.0,0.5518654316733015,-0.06651627291029588,0.29403426496006146,-0.022181197654315282,0.47659132864544373,0.6245010220371274,-0.056980355156057726,-0.048535688240358255
9,right_m-pip_actuator,0.08606882988380346,-0.002571146431463871,0.003826449214588135,0.47851714847484816,0.23443343485779256,0.5933656415553058,0.9398407671993844,-0.35171739552298203,0.5518654316733016,1.0,0.05973954668687595,-0.17404567229656262,-0.15047529857887315,0.32184236431306135,0.3502968925584232,-0.1737347023938313,-0.07640231305881325
10,right_i-abd_actuator,0.09583745945340623,0.11530945021417159,0.3568525556704803,0.3484300442750638,-0.013740712462796517,-0.004568204055204243,0.13614932727092074,0.34106493002705207,-0.06651627291029588,0.05973954668687595,1.0,0.22074963694125632,0.28397811444595905,0.17864963012982238,-0.0466293064511362,-0.057214101265725806,-0.2008997714304529
11,right_i-mcp_actuator,-0.3818398970371722,-0.20853391602388688,0.11003783022526527,-0.04082403912931602,-0.18684278985410346,0.08819289677625074,-0.14535258300590848,0.02768981706029759,0.29403426496006146,-0.17404567229656262,0.22074963694125632,1.0,0.7646856565638744,0.4527056980376886,0.5241311022192398,-0.18484292761719856,-0.08345978495416409
12,right_i-pip_actuator,-0.1215779218647414,-0.46614400241104786,-0.08825740105668133,0.017861494510254084,-0.38491959707367335,-0.1897225889498154,-0.14480991610005392,0.0168051750541157,-0.022181197654315282,-0.15047529857887318,0.28397811444595905,0.7646856565638745,1.0,0.19158206918934118,0.27610572228720826,-0.4322368371791567,-0.27843464235217513
13,right_t-cmc_actuator,-0.2661882304570601,0.2200898949550432,0.23795599639163792,0.14718041743234334,0.37670757989596626,0.4125239990721175,0.36057134504267846,-0.24483372245157345,0.47659132864544373,0.32184236431306135,0.17864963012982238,0.4527056980376887,0.19158206918934118,1.0,0.7032030886363487,0.19433461230033808,0.2414944777844774
14,right_t-abd_actuator,-0.4140405919293583,0.09638914479257862,0.17427940413441803,0.2807835542679696,0.10174518328998862,0.4624036620914456,0.38900558950447633,-0.16923263176240944,0.6245010220371274,0.35029689255842317,-0.0466293064511362,0.5241311022192396,0.27610572228720826,0.7032030886363487,1.0,0.10269186475937475,0.1289356158056886
