repeat,split,sequence_id,label
0,train,9b6d6e12541f,deer_horn
0,train,8965bab92aa4,three_finger_bent
0,train,35a9c396f1a4,orchid_finger
0,train,dc1412571fa7,prayer_beads
0,train,538ec863bb75,deer_horn
0,train,a822aed127f5,flower_pinch
0,train,eea8808072e4,three_finger_bent
0,train,94336838e554,orchid_finger
0,train,b5c72eee6031,orchid_palm
0,train,6e0825e4309a,flower_pinch
0,train,6248c818c98a,prayer_beads
0,train,29d318a0a47c,prayer_beads
0,train,ead22ed8d1dd,orchid_finger
0,train,d282dc86376e,three_finger_bent
0,train,01fd6a3af833,flower_pinch
0,train,b795f1462f25,orchid_palm
0,train,088859eb0563,deer_horn
0,train,c19dce71c849,orchid_palm
0,test,13271a043d83,orchid_finger
0,test,a65164b9d698,flower_pinch
0,test,7c3605d89168,prayer_beads
0,test,5efb0e1b3b94,orchid_finger
0,test,7c5d2a4ee66e,flower_pinch
0,test,385de3b26d97,flower_pinch
0,test,8d3758285d71,three_finger_bent
0,test,7e9d9bde7c38,prayer_beads
0,test,4b6d928951b9,three_finger_bent
0,test,b7495fa948df,orchid_palm
0,test,b4f57c1e7812,prayer_beads
0,test,83922cc421de,deer_horn
1,train,64b8975639c4,orchid_palm
1,train,35a9c396f1a4,orchid_finger
1,train,ee73f970fb19,prayer_beads
1,train,83922cc421de,deer_horn
1,train,dc1412571fa7,prayer_beads
1,train,b795f1462f25,orchid_palm
1,train,538ec863bb75,deer_horn
1,train,27cef767e437,flower_pinch
1,train,92ec2d35b523,prayer_beads
1,train,cf2d104edd27,orchid_finger
1,train,68374eb33bd8,three_finger_bent
1,train,425e947b303e,deer_horn
1,train,7c5d2a4ee66e,flower_pinch
1,train,eea8808072e4,three_finger_bent
1,train,b7495fa948df,orchid_palm
1,train,b1043ad7a1fd,flower_pinch
1,train,8965bab92aa4,three_finger_bent
1,train,94336838e554,orchid_finger
1,test,a65164b9d698,flower_pinch
1,test,088859eb0563,deer_horn
1,test,7c3605d89168,prayer_beads
1,test,385de3b26d97,flower_pinch
1,test,29d318a0a47c,prayer_beads
1,test,8255189f725d,prayer_beads
1,test,9b6d6e12541f,deer_horn
1,test,ead22ed8d1dd,orchid_finger
1,test,4b6d928951b9,three_finger_bent
1,test,c19dce71c849,orchid_palm
1,test,3077ba49d2d6,orchid_finger
1,test,f6e089c6ee0b,flower_pinch
2,train,e635b04f95b4,orchid_finger
2,train,eea8808072e4,three_finger_bent
2,train,425e947b303e,deer_horn
2,train,04e16016884a,orchid_finger
2,train,385de3b26d97,flower_pinch
2,train,8d3758285d71,three_finger_bent
2,train,538ec863bb75,deer_horn
2,train,35a9c396f1a4,orchid_finger
2,train,b5c72eee6031,orchid_palm
2,train,c19dce71c849,orchid_palm
2,train,7e9d9bde7c38,prayer_beads
2,train,83922cc421de,deer_horn
2,train,92ec2d35b523,prayer_beads
2,train,c445d8e9ffda,prayer_beads
2,train,4b6d928951b9,three_finger_bent
2,train,b7495fa948df,orchid_palm
2,train,27cef767e437,flower_pinch
2,train,4a163017caff,flower_pinch
2,test,94336838e554,orchid_finger
2,test,e83978ff4839,flower_pinch
2,test,cbfc925af7a9,prayer_beads
2,test,9b6d6e12541f,deer_horn
2,test,5efb0e1b3b94,orchid_finger
2,test,ee73f970fb19,prayer_beads
2,test,64b8975639c4,orchid_palm
2,test,088859eb0563,deer_horn
2,test,d282dc86376e,three_finger_bent
2,test,b4f57c1e7812,prayer_beads
2,test,44ce576d45ae,flower_pinch
2,test,a822aed127f5,flower_pinch
3,train,db39c266a790,deer_horn
3,train,c445d8e9ffda,prayer_beads
3,train,e83978ff4839,flower_pinch
3,train,088859eb0563,deer_horn
3,train,d63635c1356e,three_finger_bent
3,train,7c3605d89168,prayer_beads
3,train,b795f1462f25,orchid_palm
3,train,94336838e554,orchid_finger
3,train,7c5d2a4ee66e,flower_pinch
3,train,3077ba49d2d6,orchid_finger
3,train,b61cb14c9598,orchid_finger
3,train,9b6d6e12541f,deer_horn
3,train,e2064c38a923,orchid_palm
3,train,c19dce71c849,orchid_palm
3,train,d282dc86376e,three_finger_bent
