repeat,shot,split,sequence_id,label
0,1,train,61f19bac48be,orchid_palm
0,1,train,b1043ad7a1fd,flower_pinch
0,1,train,cf06bd8e63b0,prayer_beads
0,1,train,ee37db102cde,three_finger_bent
0,1,train,eedcd7c58526,deer_horn
0,1,train,fbd9a6c1e22c,orchid_finger
0,1,test,010a5011bcfd,orchid_finger
0,1,test,013813bfd4b6,three_finger_bent
0,1,test,01fd6a3af833,flower_pinch
0,1,test,02031cd71838,orchid_finger
0,1,test,04e16016884a,orchid_finger
0,1,test,05c116dc4ea7,three_finger_bent
0,1,test,0811126d80b5,deer_horn
0,1,test,088859eb0563,deer_horn
0,1,test,0e4f4ee4e14c,flower_pinch
0,1,test,10669b510bec,orchid_palm
0,1,test,13223bfbd5ee,flower_pinch
0,1,test,144ec3480b65,flower_pinch
0,1,test,14b9a0194276,orchid_palm
0,1,test,15871d67f593,three_finger_bent
0,1,test,223f5619f740,flower_pinch
0,1,test,224a51a1dd12,orchid_palm
0,1,test,2472e1c1ad51,flower_pinch
0,1,test,2898570d92e6,three_finger_bent
0,1,test,28d14f2d48f6,orchid_palm
0,1,test,2a93c274a81c,orchid_finger
0,1,test,31eb091e0bb6,three_finger_bent
0,1,test,32ddc31572ea,deer_horn
0,1,test,3470642f312f,orchid_palm
0,1,test,35a9c396f1a4,orchid_finger
0,1,test,36f8da0a0c37,orchid_palm
0,1,test,412c0b227fc0,three_finger_bent
0,1,test,4517781a2c8f,orchid_palm
0,1,test,4597aaed3875,deer_horn
0,1,test,49e9f07e201b,deer_horn
0,1,test,4eb3a90dac1b,three_finger_bent
0,1,test,505452b22e06,deer_horn
0,1,test,539a413b384f,flower_pinch
0,1,test,53bc9d5f7ebc,prayer_beads
0,1,test,597539acae4b,orchid_palm
0,1,test,5a3dc528e04d,deer_horn
0,1,test,5bee273a53c9,orchid_palm
0,1,test,5ca5876b73e7,flower_pinch
0,1,test,5e4f7ed352eb,flower_pinch
0,1,test,5efb0e1b3b94,orchid_finger
0,1,test,607f4e7c3370,flower_pinch
0,1,test,6248c818c98a,prayer_beads
0,1,test,6d6e57f6c646,orchid_palm
0,1,test,6ef7848c1559,three_finger_bent
0,1,test,6fcd597770ab,flower_pinch
0,1,test,706d6f4c2061,three_finger_bent
0,1,test,7597358efd8b,three_finger_bent
0,1,test,78df284ad35b,prayer_beads
0,1,test,7a42a86413ee,deer_horn
0,1,test,7d00828615b5,orchid_finger
0,1,test,80d5a563981a,orchid_palm
0,1,test,856427c201ac,orchid_palm
0,1,test,8c7c0fb1c0f0,orchid_finger
0,1,test,90168382c6e9,orchid_palm
0,1,test,92ec2d35b523,prayer_beads
0,1,test,96644269d5c5,orchid_palm
0,1,test,96fc17d19424,orchid_palm
0,1,test,99315e5eaef4,deer_horn
0,1,test,99a20727e3a0,orchid_palm
0,1,test,9b07ae691ee2,deer_horn
0,1,test,9e82bd60bcff,orchid_finger
0,1,test,9f965c57a01a,orchid_finger
0,1,test,a0ad3bbf32c6,orchid_finger
0,1,test,a36973700099,orchid_finger
0,1,test,a4d892c9d4e3,three_finger_bent
0,1,test,a5277b949382,three_finger_bent
0,1,test,a5fe68f14455,orchid_finger
0,1,test,a608ba06813c,orchid_finger
0,1,test,a69e7fdc59b2,flower_pinch
0,1,test,aa1f81d624a9,prayer_beads
0,1,test,ad9e732b29b2,prayer_beads
0,1,test,aedea94bab5a,prayer_beads
0,1,test,b10fec1d468f,deer_horn
0,1,test,b301d3628cb7,three_finger_bent
0,1,test,b4586f6ff52c,orchid_palm
0,1,test,b7495fa948df,orchid_palm
0,1,test,b7755c98f813,deer_horn
0,1,test,bd273b573d29,prayer_beads
0,1,test,bdbca1c9b840,flower_pinch
0,1,test,bec0e0714be5,three_finger_bent
0,1,test,c2467c682e7e,flower_pinch
0,1,test,c44d56eae143,prayer_beads
0,1,test,c55847179934,prayer_beads
0,1,test,c719c5fab19e,orchid_finger
0,1,test,c9c8314e6ee1,orchid_palm
0,1,test,cbfc925af7a9,prayer_beads
0,1,test,cdb90f5b9fec,deer_horn
0,1,test,cf4a676b5324,deer_horn
0,1,test,d282dc86376e,three_finger_bent
0,1,test,d2ada17068ed,orchid_palm
0,1,test,da1ffae5f0a2,orchid_palm
0,1,test,db135c9eec51,prayer_beads
0,1,test,db39c266a790,deer_horn
0,1,test,db70aea60cf4,flower_pinch
0,1,test,dd960d56ba2e,orchid_palm
0,1,test,df281fd4d6c9,deer_horn
0,1,test,e1f91dcfe69d,three_finger_bent
0,1,test,e4a25b86c09f,orchid_finger
0,1,test,e635b04f95b4,orchid_finger
0,1,test,e649d8e33325,deer_horn
0,1,test,e705d6b681c2,deer_horn
0,1,test,e73522e35522,orchid_finger
0,1,test,e83978ff4839,flower_pinch
0,1,test,eae2b467b678,three_finger_bent
0,1,test,ee6710fadfd3,orchid_finger
0,1,test,eee4b32d4fd5,three_finger_bent
0,1,test,ef78d436972e,flower_pinch
0,1,test,f0b24a58900a,prayer_beads
0,1,test,f1830d7435e4,deer_horn
0,1,test,f2b323c2533c,prayer_beads
0,1,test,f406413c3d58,prayer_beads
0,1,test,f499a3f8c193,prayer_beads
0,1,test,f85ee5c0252c,flower_pinch
0,1,test,fbcd89dd30a3,prayer_beads
0,1,test,fc3e749cb1f3,flower_pinch
0,1,test,fe91df670e61,prayer_beads
0,3,train,17360e901685,flower_pinch
0,3,train,55eefdffd49d,three_finger_bent
0,3,train,5b21b741b1b5,orchid_finger
0,3,train,61f19bac48be,orchid_palm
0,3,train,837ea2767e1c,flower_pinch
0,3,train,8c2dad0c4cfa,three_finger_bent
0,3,train,abbb4b03db8c,prayer_beads
0,3,train,b1043ad7a1fd,flower_pinch
0,3,train,bacc659b8a8f,prayer_beads
0,3,train,bc6a0b9f695e,deer_horn
0,3,train,cf06bd8e63b0,prayer_beads
0,3,train,d3cc18ceb43b,deer_horn
0,3,train,e02d0ba05950,orchid_finger
0,3,train,e6caf1c42e89,orchid_palm
0,3,train,ee37db102cde,three_finger_bent
0,3,train,eedcd7c58526,deer_horn
0,3,train,f9c70a8fc4e4,orchid_palm
0,3,train,fbd9a6c1e22c,orchid_finger
0,3,test,010a5011bcfd,orchid_finger
0,3,test,013813bfd4b6,three_finger_bent
0,3,test,01fd6a3af833,flower_pinch
0,3,test,02031cd71838,orchid_finger
0,3,test,04e16016884a,orchid_finger
0,3,test,05c116dc4ea7,three_finger_bent
0,3,test,0811126d80b5,deer_horn
0,3,test,088859eb0563,deer_horn
0,3,test,0e4f4ee4e14c,flower_pinch
0,3,test,10669b510bec,orchid_palm
0,3,test,13223bfbd5ee,flower_pinch
0,3,test,144ec3480b65,flower_pinch
0,3,test,14b9a0194276,orchid_palm
0,3,test,15871d67f593,three_finger_bent
0,3,test,223f5619f740,flower_pinch
0,3,test,224a51a1dd12,orchid_palm
0,3,test,2472e1c1ad51,flower_pinch
0,3,test,2898570d92e6,three_finger_bent
0,3,test,28d14f2d48f6,orchid_palm
0,3,test,2a93c274a81c,orchid_finger
0,3,test,31eb091e0bb6,three_finger_bent
0,3,test,32ddc31572ea,deer_horn
0,3,test,3470642f312f,orchid_palm
0,3,test,35a9c396f1a4,orchid_finger
0,3,test,36f8da0a0c37,orchid_palm
0,3,test,412c0b227fc0,three_finger_bent
0,3,test,4517781a2c8f,orchid_palm
0,3,test,4597aaed3875,deer_horn
0,3,test,49e9f07e201b,deer_horn
0,3,test,4eb3a90dac1b,three_finger_bent
0,3,test,505452b22e06,deer_horn
0,3,test,539a413b384f,flower_pinch
0,3,test,53bc9d5f7ebc,prayer_beads
0,3,test,597539acae4b,orchid_palm
0,3,test,5a3dc528e04d,deer_horn
0,3,test,5bee273a53c9,orchid_palm
0,3,test,5ca5876b73e7,flower_pinch
0,3,test,5e4f7ed352eb,flower_pinch
0,3,test,5efb0e1b3b94,orchid_finger
0,3,test,607f4e7c3370,flower_pinch
0,3,test,6248c818c98a,prayer_beads
0,3,test,6d6e57f6c646,orchid_palm
0,3,test,6ef7848c1559,three_finger_bent
0,3,test,6fcd597770ab,flower_pinch
0,3,test,706d6f4c2061,three_finger_bent
0,3,test,7597358efd8b,three_finger_bent
0,3,test,78df284ad35b,prayer_beads
0,3,test,7a42a86413ee,deer_horn
0,3,test,7d00828615b5,orchid_finger
0,3,test,80d5a563981a,orchid_palm
0,3,test,856427c201ac,orchid_palm
0,3,test,8c7c0fb1c0f0,orchid_finger
0,3,test,90168382c6e9,orchid_palm
0,3,test,92ec2d35b523,prayer_beads
0,3,test,96644269d5c5,orchid_palm
0,3,test,96fc17d19424,orchid_palm
0,3,test,99315e5eaef4,deer_horn
0,3,test,99a20727e3a0,orchid_palm
0,3,test,9b07ae691ee2,deer_horn
0,3,test,9e82bd60bcff,orchid_finger
0,3,test,9f965c57a01a,orchid_finger
0,3,test,a0ad3bbf32c6,orchid_finger
0,3,test,a36973700099,orchid_finger
0,3,test,a4d892c9d4e3,three_finger_bent
0,3,test,a5277b949382,three_finger_bent
0,3,test,a5fe68f14455,orchid_finger
0,3,test,a608ba06813c,orchid_finger
0,3,test,a69e7fdc59b2,flower_pinch
0,3,test,aa1f81d624a9,prayer_beads
0,3,test,ad9e732b29b2,prayer_beads
0,3,test,aedea94bab5a,prayer_beads
0,3,test,b10fec1d468f,deer_horn
0,3,test,b301d3628cb7,three_finger_bent
0,3,test,b4586f6ff52c,orchid_palm
0,3,test,b7495fa948df,orchid_palm
0,3,test,b7755c98f813,deer_horn
0,3,test,bd273b573d29,prayer_beads
0,3,test,bdbca1c9b840,flower_pinch
0,3,test,bec0e0714be5,three_finger_bent
0,3,test,c2467c682e7e,flower_pinch
0,3,test,c44d56eae143,prayer_beads
0,3,test,c55847179934,prayer_beads
0,3,test,c719c5fab19e,orchid_finger
0,3,test,c9c8314e6ee1,orchid_palm
0,3,test,cbfc925af7a9,prayer_beads
0,3,test,cdb90f5b9fec,deer_horn
0,3,test,cf4a676b5324,deer_horn
0,3,test,d282dc86376e,three_finger_bent
0,3,test,d2ada17068ed,orchid_palm
0,3,test,da1ffae5f0a2,orchid_palm
0,3,test,db135c9eec51,prayer_beads
0,3,test,db39c266a790,deer_horn
0,3,test,db70aea60cf4,flower_pinch
0,3,test,dd960d56ba2e,orchid_palm
0,3,test,df281fd4d6c9,deer_horn
0,3,test,e1f91dcfe69d,three_finger_bent
0,3,test,e4a25b86c09f,orchid_finger
0,3,test,e635b04f95b4,orchid_finger
0,3,test,e649d8e33325,deer_horn
0,3,test,e705d6b681c2,deer_horn
0,3,test,e73522e35522,orchid_finger
0,3,test,e83978ff4839,flower_pinch
0,3,test,eae2b467b678,three_finger_bent
0,3,test,ee6710fadfd3,orchid_finger
0,3,test,eee4b32d4fd5,three_finger_bent
0,3,test,ef78d436972e,flower_pinch
0,3,test,f0b24a58900a,prayer_beads
0,3,test,f1830d7435e4,deer_horn
0,3,test,f2b323c2533c,prayer_beads
0,3,test,f406413c3d58,prayer_beads
0,3,test,f499a3f8c193,prayer_beads
0,3,test,f85ee5c0252c,flower_pinch
0,3,test,fbcd89dd30a3,prayer_beads
0,3,test,fc3e749cb1f3,flower_pinch
0,3,test,fe91df670e61,prayer_beads
0,5,train,029acf1c8098,orchid_palm
0,5,train,17360e901685,flower_pinch
0,5,train,392a69adcef6,flower_pinch
0,5,train,4b7e191007f4,flower_pinch
0,5,train,55eefdffd49d,three_finger_bent
0,5,train,5b21b741b1b5,orchid_finger
0,5,train,5f887bd2c714,prayer_beads
0,5,train,61f19bac48be,orchid_palm
0,5,train,837ea2767e1c,flower_pinch
0,5,train,8c2dad0c4cfa,three_finger_bent
0,5,train,90f1a984a449,orchid_palm
0,5,train,92135167f589,orchid_finger
0,5,train,938c6a0d1043,deer_horn
0,5,train,abbb4b03db8c,prayer_beads
0,5,train,b1043ad7a1fd,flower_pinch
0,5,train,bacc659b8a8f,prayer_beads
0,5,train,bc6a0b9f695e,deer_horn
0,5,train,c9a5b4833267,three_finger_bent
0,5,train,ca086ba3b9cd,prayer_beads
0,5,train,cf06bd8e63b0,prayer_beads
0,5,train,d3cc18ceb43b,deer_horn
0,5,train,dff2e96f8ae8,deer_horn
0,5,train,e02d0ba05950,orchid_finger
0,5,train,e477493e71b7,orchid_finger
0,5,train,e47cab926107,three_finger_bent
0,5,train,e6caf1c42e89,orchid_palm
0,5,train,ee37db102cde,three_finger_bent
0,5,train,eedcd7c58526,deer_horn
0,5,train,f9c70a8fc4e4,orchid_palm
0,5,train,fbd9a6c1e22c,orchid_finger
0,5,test,010a5011bcfd,orchid_finger
0,5,test,013813bfd4b6,three_finger_bent
0,5,test,01fd6a3af833,flower_pinch
0,5,test,02031cd71838,orchid_finger
0,5,test,04e16016884a,orchid_finger
0,5,test,05c116dc4ea7,three_finger_bent
0,5,test,0811126d80b5,deer_horn
0,5,test,088859eb0563,deer_horn
0,5,test,0e4f4ee4e14c,flower_pinch
0,5,test,10669b510bec,orchid_palm
0,5,test,13223bfbd5ee,flower_pinch
0,5,test,144ec3480b65,flower_pinch
0,5,test,14b9a0194276,orchid_palm
0,5,test,15871d67f593,three_finger_bent
0,5,test,223f5619f740,flower_pinch
0,5,test,224a51a1dd12,orchid_palm
0,5,test,2472e1c1ad51,flower_pinch
0,5,test,2898570d92e6,three_finger_bent
0,5,test,28d14f2d48f6,orchid_palm
0,5,test,2a93c274a81c,orchid_finger
0,5,test,31eb091e0bb6,three_finger_bent
0,5,test,32ddc31572ea,deer_horn
0,5,test,3470642f312f,orchid_palm
0,5,test,35a9c396f1a4,orchid_finger
0,5,test,36f8da0a0c37,orchid_palm
0,5,test,412c0b227fc0,three_finger_bent
0,5,test,4517781a2c8f,orchid_palm
0,5,test,4597aaed3875,deer_horn
0,5,test,49e9f07e201b,deer_horn
0,5,test,4eb3a90dac1b,three_finger_bent
0,5,test,505452b22e06,deer_horn
0,5,test,539a413b384f,flower_pinch
0,5,test,53bc9d5f7ebc,prayer_beads
0,5,test,597539acae4b,orchid_palm
0,5,test,5a3dc528e04d,deer_horn
0,5,test,5bee273a53c9,orchid_palm
0,5,test,5ca5876b73e7,flower_pinch
0,5,test,5e4f7ed352eb,flower_pinch
0,5,test,5efb0e1b3b94,orchid_finger
0,5,test,607f4e7c3370,flower_pinch
0,5,test,6248c818c98a,prayer_beads
0,5,test,6d6e57f6c646,orchid_palm
0,5,test,6ef7848c1559,three_finger_bent
0,5,test,6fcd597770ab,flower_pinch
0,5,test,706d6f4c2061,three_finger_bent
0,5,test,7597358efd8b,three_finger_bent
0,5,test,78df284ad35b,prayer_beads
0,5,test,7a42a86413ee,deer_horn
0,5,test,7d00828615b5,orchid_finger
0,5,test,80d5a563981a,orchid_palm
0,5,test,856427c201ac,orchid_palm
0,5,test,8c7c0fb1c0f0,orchid_finger
0,5,test,90168382c6e9,orchid_palm
0,5,test,92ec2d35b523,prayer_beads
0,5,test,96644269d5c5,orchid_palm
