label,sequence_id,frame_id,timestamp_sec,no_temporal_0,no_temporal_1,no_temporal_2,no_temporal_3,no_temporal_4,no_temporal_5,no_temporal_6,no_temporal_7,no_temporal_8,no_temporal_9,no_temporal_10,no_temporal_11,no_temporal_12,no_temporal_13,no_temporal_14,no_temporal_15,no_temporal_16,success,iterations,solve_time_ms,total_loss
flower_pinch,01fd6a3af833,0,0.020418700005393475,-0.8965516090393066,-0.03535574674606323,-0.15160292387008667,-0.17011110484600067,0.05011823773384094,-0.04046435281634331,-0.17152708768844604,-0.06219199672341347,0.11579154431819916,0.8637922406196594,0.2605343759059906,-0.13518209755420685,-0.17152708768844604,-0.11855234205722809,-0.012770427390933037,-0.11154105514287949,0.04666014388203621,1,6,40.08450001128949,1.7741276968915758
flower_pinch,01fd6a3af833,1,0.08659710000210907,-0.8821601867675781,-0.04291222617030144,-0.1446649134159088,-0.17152684926986694,0.06079589203000069,-0.030429041013121605,-0.17152684926986694,-0.062150660902261734,0.13564686477184296,0.7281915545463562,0.29545292258262634,-0.1562614142894745,-0.17152684926986694,-0.0996403768658638,-0.006041595712304115,-0.12595894932746887,-0.0006163846119306982,1,6,26.789299998199567,1.723884372110623
flower_pinch,01fd6a3af833,2,0.14090140000917017,-0.8823987245559692,-0.0387234091758728,-0.14335495233535767,-0.17152725160121918,0.05792764946818352,-0.017225317656993866,-0.17152726650238037,-0.061441753059625626,0.14869515597820282,1.0253777503967285,0.2920561730861664,-0.14764097332954407,-0.17152726650238037,-0.07053898274898529,-0.0386185348033905,-0.10811339318752289,0.05901365354657173,1,6,28.030400004354306,1.844671160580115
flower_pinch,01fd6a3af833,3,0.1929082999995444,-0.8876821994781494,-0.03272702917456627,-0.012490510940551758,-0.13067159056663513,0.010631753131747246,0.11591513454914093,-0.15585558116436005,-0.06448615342378616,0.11523499339818954,0.15098287165164948,0.1939188539981842,-0.144514799118042,-0.17152808606624603,-0.309842973947525,0.025907596573233604,-0.035545170307159424,-0.06919506192207336,1,5,24.769900002866052,1.8006484514648313
flower_pinch,01fd6a3af833,4,0.25839750000159256,-0.699489176273346,-0.008738446049392223,-0.12923911213874817,-0.047590598464012146,0.04050435498356819,0.13203683495521545,0.03153058513998985,-0.06971615552902222,0.1502363681793213,0.4177972972393036,0.13248836994171143,-0.08669925481081009,-0.1527881622314453,-0.5154070854187012,0.03658517822623253,-0.17806482315063477,-0.1715245246887207,1,6,27.952199990977533,1.9060681281557397
flower_pinch,01fd6a3af833,5,0.321364800009178,-0.5737790465354919,-0.09744895249605179,-0.15844596922397614,-0.14633356034755707,-0.006219179835170507,0.037102580070495605,-0.12803737819194794,-0.08757949620485306,-0.002702960278838873,-0.08455679565668106,-0.13834303617477417,0.2746618986129761,1.0585227012634277,-0.5454239845275879,0.11404039710760117,-0.1992894858121872,0.0656815841794014,1,6,27.80140000686515,2.1632486207576997
flower_pinch,01fd6a3af833,6,0.38409750000573695,-0.34504076838493347,-0.21329878270626068,-0.1787419617176056,-0.13829469680786133,-0.014589373953640461,0.024110758677124977,-0.0075874230824410915,-0.0952562540769577,0.003612920641899109,-0.07542182505130768,-0.042521074414253235,0.1807621568441391,1.1904960870742798,-0.5605781674385071,0.03229167312383652,-0.22743357717990875,0.0946468710899353,1,7,32.18439999909606,2.2090932200343207
flower_pinch,01fd6a3af833,7,0.4424070000095526,-0.17052127420902252,0.01840832084417343,-0.19721639156341553,-0.1715269237756729,0.0917026698589325,-0.13976433873176575,0.016127265989780426,-0.0955549106001854,-0.00823027454316616,1.2314517498016357,0.18262246251106262,-0.0825151577591896,1.244998812675476,-0.22460204362869263,0.035473182797431946,-0.14929772913455963,0.3924708366394043,1,6,28.85130001232028,2.521840517750627
flower_pinch,01fd6a3af833,8,0.5046893999970052,-0.05915987119078636,-0.0704990103840828,-0.28922149538993835,-0.17152678966522217,0.057432323694229126,-0.20230692625045776,0.08512808382511139,-0.0933750569820404,-0.05302320048213005,1.2449991703033447,0.12543897330760956,-0.07920731604099274,1.2449991703033447,-0.23380178213119507,0.1939115971326828,-0.2229701280593872,0.48462212085723877,1,6,27.924299996811897,2.580541492620125
flower_pinch,01fd6a3af833,9,0.5671406000037678,-0.02117377519607544,-0.12172354757785797,-0.30472540855407715,-0.128822922706604,0.03612418472766876,-0.18867535889148712,0.14314953982830048,-0.09040246903896332,0.026413029059767723,1.2449994087219238,0.1940891593694687,-0.22451896965503693,-0.06348949670791626,-0.2408982217311859,0.1033487468957901,-0.2410239726305008,0.515834629535675,1,6,31.268000006093644,2.308093311905008
